10000,123456789,987654321,1500000,Ciudad de México,2024-07-03,08:30
20000,123456780,987654322,500,Nueva York,2024-07-03,09:15
30000,123456781,987654323,2000,Tokio,2024-07-03,10:45
40000,123456782,987654324,750,Londres,2024-07-03,11:20
50000,123456783,987654325,1800,París,2024-07-03,12:35
60000,123456784,987654326,300,Berlín,2024-07-03,13:50
70000,123456785,987654327,950,Moscú,2024-07-03,14:10
80000,123456786,987654328,1200,Sídney,2024-07-03,15:25
90000,123456787,987654329,450,Toronto,2024-07-03,16:45
10000,123456788,987654330,1600,Buenos Aires,2024-07-03,17:55
